im_id,title,releasedYear,Genre,Director,Writter,actors,imdb_votes,imdb_rating,keywords,PolarityConfidence,Tbl_ID
tt0025878,The Thin Man,1934,"Comedy, Crime, Mystery",W.S. Van Dyke,"Albert Hackett (screen play), Frances Goodrich (screen play), Dashiell Hammett (from the novel by)","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","22,319",8.1," year absence time, nick charles, new wife nora dog, nick reconnects, old crony, eccentric character, dorothy wynant, inventor father clyde, wynant suspected, former secretary father left, planned trip month, keen resuming, former profession eggedon wife, nora think, very exciting agrees, help solves, case announcing, identity killer dinner, party suspect",100,23
tt0026029,The 39 Steps,1935,"Mystery, Thriller",Alfred Hitchcock,"John Buchan (adapted from the novel by), Charles Bennett (adaptation), Ian Hay (dialogue)","Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle","43,671",7.8," richard hannay, canadian visitor, london end mr memory, show music hall, meet annabella smith, away secret agent, accepts hide flat night, girl murder hannay go, break spy ring",100,24
tt0026138,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",James Whale,"Mary Shelley (suggested by: the original story written in 1816 by), William Hurlbut (adapted by), John L. Balderston (adapted by), William Hurlbut (screenplay)","Boris Karloff, Colin Clive, Valerie Hobson, Ernest Thesiger","36,228",7.9," dr frankenstein monster, dr frankenstein, want get, evil experiment business, mad scientist dr pretorius, kidnaps wife, dr frankenstein agrees, new creature woman companion",97.1429,25
tt0026752,Mutiny on the Bounty,1935,"Adventure, Biography, Drama",Frank Lloyd,"Talbot Jennings (screenplay), Jules Furthman (screenplay), Carey Wilson (screenplay), Charles Nordhoff (book), James Norman Hall (book), Margaret Booth","Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin","17,840",7.8," midshipman roger byam, join captain bligh fletcher, christian aboard hm bounty, voyage tahiti, bligh prof brutal, pleasant month tahiti, christian lead crew, mutiny homeward voyage, byam take, part mutiny, defend charge supported",100,26
tt0027125,Top Hat,1935,"Comedy, Musical, Romance",Mark Sandrich,"Dwight Taylor (screen play), Allan Scott (screen play), Dwight Taylor (story)","Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes","14,712",7.8," showman jerry travers, working producer, horace hardwick london, jerry demonstrates new, dance step, night horace hotel, much annoyance, dale tremont, upstairs complain, immediately attracted complication, dale mistake jerry horace",85.7143,27
tt0027698,The Great Ziegfeld,1936,"Biography, Drama, Musical",Robert Z. Leonard,William Anthony McGuire (screenplay),"William Powell, Myrna Loy, Luise Rainer, Frank Morgan","5,671",6.8," chicago world fair sideshow, barker flo, ziegfeld turn, successful neighbor billing, girlfriend boot pattern repeated, life ziegfeld, many fortune, spectacular show section appear, film french revue, held becomes, first wife, married man, american girl, late life, now married billie, burke seems",56,28
tt0028010,My Man Godfrey,1936,"Comedy, Drama, Romance",Gregory La Cava,"Morrie Ryskind (screen play), Eric Hatch (screen play), Eric Hatch (based on the novel by)","William Powell, Carole Lombard, Alice Brady, Gail Patrick","17,152",8.1," depth depression party, game brings dizzy, socialite irene bullock city, dump meet, derelict end, hiring family, butler find bullock, epitome idle, proverbial fruitcake, irene love protege feel, servant employer place regardless servant, mysterious past",97.1429,29
tt0028212,Sabotage,1936,Thriller,Alfred Hitchcock,"Joseph Conrad (novel), Charles Bennett (screen play), Ian Hay (dialogue), Helen Simpson (dialogue), Alma Reville (continuity), E.V.H. Emmett (additional dialogue)","Sylvia Sidney, Oskar Homolka, Desmond Tester, John Loder","12,252",7.1," mr verloc, part gang, foreign saboteur, operating london manages, small cinema wife teenage, brother cover, know nothing, secret scotland yard assign, detective work shop, next cinema order observe",-100,30
tt0028231,Secret Agent,1936,"Mystery, Thriller",Alfred Hitchcock,"Campbell Dixon (play), W. Somerset Maugham (novel), Charles Bennett (screenplay), Ian Hay (dialogue), Alma Reville (continuity), Jesse Lasky Jr. (additional dialogue)","Madeleine Carroll, Peter Lorre, John Gielgud, Robert Young","6,697",6.6," first world war novelist, edgar brodie, sent switzerland, intelligence service, german agent mission meet fake, first elsa carrington help",100,31
tt0028757,A Damsel in Distress,1937,"Comedy, Musical, Romance",George Stevens,"P.G. Wodehouse (screen play), Ernest Pagano (screen play), S.K. Lauren (screen play), P.G. Wodehouse (from the story by)","Fred Astaire, George Burns, Gracie Allen, Joan Fontaine","1,476",6.9," alyce marshmorton, staff tottney castle, shell choose, young albert, wagering mr, alyce go london meet, beau bumping, dancer jerry halliday, castle curb, scandalous behavior, albert summons, jerry alyces, aid order protect",100,32
